model,accuracy_mean,accuracy_std,balanced_acc_mean,balanced_acc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std
LogReg,0.771843137254902,0.07791834389670448,0.7340859077701183,0.1124310425859305,0.8100521574205786,0.049866268800686044,0.6581196581196581,0.18470241696559242,0.876302578027695,0.06266034312308343,0.8415416874445967,0.05257723241697563,0.8130083524820367,0.08869264983155908,0.9266442363173037,0.02889336255185674,0.44047228114729464,0.20761906917677364
SVM (RBF),0.7974117647058824,0.046589746386590976,0.6928508467982152,0.06696230846169215,0.9040777619724988,0.039047812542559,0.4816239316239317,0.11172169512330334,0.837604338767996,0.026733836891641837,0.8693911266308278,0.029485544714292992,0.8075112561954668,0.058124820889585635,0.9212333573495857,0.022252171548314367,0.42590337741673157,0.1525569565613968
RandomForest,0.8186143790849674,0.02790820590379765,0.6912286780707834,0.07263178975050133,0.9482693219535324,0.04013520228580786,0.43418803418803426,0.17363264166296138,0.834064376794403,0.035901332218231996,0.8864319415630444,0.01632059242998819,0.8370365304575831,0.07529299955608651,0.9339583165145496,0.03336836663704325,0.4713752169710751,0.10353518418540292
XGBoost,0.8382745098039216,0.05186243827412938,0.7333251267461793,0.10233531945785422,0.9448553816974868,0.019869159356480395,0.5217948717948718,0.20289246349304063,0.856269116890957,0.0487467840554887,0.8977661118766477,0.029561721271468992,0.8618586197533566,0.07619351458475883,0.9419399992202665,0.032866236568477696,0.5265563074268207,0.18749122620071104
