finetune,protocol,accuracy,balanced_acc,sensitivity,specificity,roc_auc,n_test,epochs_run
head,Image-level (leaky),0.9528158295281582,0.9592925659472422,0.935251798561151,0.9833333333333333,0.9943245403677059,657,30
head,Scan-level (honest),0.6514851485148515,0.5107813481997929,0.8969521044992743,0.12461059190031153,0.583449760138175,1010,6
lastblock,Image-level (leaky),0.9878234398782344,0.9904076738609113,0.9808153477218226,1.0,0.9993705035971223,657,9
lastblock,Scan-level (honest),0.7247524752475247,0.6102392288250161,0.9245283018867925,0.29595015576323985,0.7037469084727064,1010,6
full,Image-level (leaky),0.9939117199391172,0.9943195443645084,0.9928057553956835,0.9958333333333333,0.9998800959232613,657,24
full,Scan-level (honest),0.6702970297029703,0.6493608959664329,0.706821480406386,0.5919003115264797,0.7079337520176878,1010,6
