model,accuracy_mean,accuracy_std,balanced_acc_mean,balanced_acc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std
LogReg,0.7346517613959475,0.07674954996943427,0.6380537634408603,0.16890877593144005,0.792774193548387,0.09349208539345714,0.4833333333333333,0.3745367509040705,0.8542957042957043,0.09149582589496331,0.8175547774991474,0.05592778258946833,0.7470071684587815,0.18058772181614177,0.9221033453079877,0.0528213336906374,0.25320830642723674,0.3307743236917494
SVM (RBF),0.7964492731934592,0.04246447223389499,0.6170967741935484,0.12915073525776202,0.9341935483870968,0.06561078507768986,0.30000000000000004,0.28012893856619353,0.8198895300769115,0.02296724705517758,0.8724323062558357,0.03322991263737637,0.7149928315412185,0.09986228939806385,0.9024977641754504,0.0293593781791244,0.2611008395591055,0.3120676244018418
RandomForest,0.7861712210549421,0.057611613017526535,0.5994408602150538,0.11537687395282632,0.9322150537634408,0.07763863807619424,0.2666666666666667,0.24579802006254378,0.8092743217600903,0.024177037374973346,0.8657460331375472,0.046762444889500904,0.7897437275985663,0.045253638087190406,0.9237624353988678,0.03708606864932351,0.23231395618843287,0.2921370467368096
XGBoost,0.7804545409196572,0.05255554899731402,0.6128709677419355,0.09022519071042634,0.9090752688172044,0.0692223290270906,0.31666666666666665,0.22360679774997896,0.814983660130719,0.030885789309798253,0.8590001457911907,0.045906125355987426,0.7520430107526882,0.1474206118843826,0.9236847452204382,0.03329757963937034,0.2802455735903169,0.21925010255538552
