model,roc_auc_mean,balanced_acc_mean,mcc_mean,default_roc_auc_mean,default_balanced_acc_mean,default_mcc_mean,delta_roc_auc_mean,delta_balanced_acc_mean,delta_mcc_mean
LogReg,0.8130083524820367,0.7340859077701183,0.44047228114729464,0.7752444752444753,0.6930490206805995,0.3784207144733786,0.03776387723756147,0.0410368870895188,0.06205156667391604
SVM (RBF),0.8075112561954668,0.6928508467982152,0.42590337741673157,0.7912431662431663,0.6776473842263316,0.4064340153838333,0.016268089952300557,0.015203462571883541,0.019469362032898285
RandomForest,0.8370365304575831,0.6912286780707834,0.4713752169710751,0.8372696076643444,0.6569354779881096,0.4225290439627869,-0.00023307720676135624,0.03429320008267378,0.048846173008288196
XGBoost,0.8618586197533566,0.7333251267461793,0.5265563074268207,0.8698715922400133,0.7450447410973726,0.5673979178714984,-0.008012972486656667,-0.011719614351193286,-0.04084161044467771
