protocol,accuracy,accuracy_std,roc_auc,roc_auc_std
Record-level split (leaky),0.8666666666666666,0.04971979340939825,0.904955300127714,0.04247315718381597
Subject-level GroupKFold (leakage-free),0.787161912743308,0.08192782238686071,0.7356953405017922,0.1690991916203995
