model,accuracy_mean,accuracy_std,balanced_acc_mean,balanced_acc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std
LogReg,0.7586143790849673,0.07716203790159104,0.6930490206805995,0.10332458607398251,0.825841631104789,0.05881752525502067,0.5602564102564103,0.1631533041573544,0.8473824209873992,0.05248787767620199,0.8360692631748099,0.05207768682527849,0.7752444752444753,0.08259267992409935,0.9067373110366514,0.028906985333449015,0.37842071447337866,0.20533981723841332
SVM (RBF),0.796,0.05358469537041439,0.6776473842263316,0.08497053458813454,0.9164058795637743,0.042228255237832156,0.43888888888888883,0.15309944619958596,0.8291777172988276,0.0347324638430134,0.8702570348957117,0.03270773099983341,0.7912431662431663,0.06980612767554967,0.9130547559202313,0.03459858501085044,0.4064340153838333,0.19583561652688378
RandomForest,0.8080522875816994,0.03740876380450183,0.6569354779881096,0.07932911683598264,0.9625889046941678,0.03352822744009554,0.35128205128205126,0.17286311580187871,0.815653603335846,0.03577537201010629,0.8823160614441201,0.021033012133078073,0.8372696076643444,0.06972004100000143,0.9390794572332919,0.024609570774748363,0.42252904396278695,0.15034185294000166
XGBoost,0.8502483660130717,0.04622672101254628,0.7450447410973726,0.09056595004909822,0.9571834992887623,0.025220590168713225,0.5329059829059829,0.18233646055890454,0.8603770012070372,0.04455106611399668,0.9055761561761729,0.02683452491913855,0.8698715922400133,0.06803220791585748,0.9467968034292464,0.02598526152569267,0.5673979178714984,0.1605115834350798
