protocol,accuracy,accuracy_std,roc_auc,roc_auc_std
Record-level split (leaky),0.8267340536772394,0.008462316294454382,0.8676308069356509,0.024889265574176447
Subject-level GroupKFold (leakage-free),0.767921568627451,0.06329198485660507,0.7752642318431792,0.07402564565235777
